序号,cb_code,cb_name,price,change_pct,stock_code,stock_name,stock_price,stock_change_pct,convert_price,convert_value,premium_rate,pure_bond_premium,put_trigger_price,call_trigger_price,redemption_price,pure_bond_value,convert_start_date_x,list_date,ipo_date,volume,high,low,open,outstanding,maturity_date,redeem_status,convert_start_date_y,last_trade_date,years_to_maturity,double_low,price_deviation,cv_deviation,premium_rank_pct,double_low_rank_pct,composite_score,premium_score,double_low_score,cv_score,st_bond_floor,st_put_value,st_call_option_value,st_revision_value,st_redemption_loss,st_total_value,st_current_price,st_value_deviation
253,128129,青农转债,107.823,-0.16,002958,青农商行,3.11,-0.32,4.0,77.75,38.68,0.86,-,5.2,108.0,106.9058,20210301,20200918,20200825,19893.6464,108.189,107.726,108.005,49.997,2026-08-25,,2021-03-01,,0.63,146.503,7.822999999999994,-22.25,59.60526315789474,6.052631578947368,40.30921052631579,40.39473684210526,93.94736842105263,17.894736842105264,97.55937204281815,10.3,3.352153742734862,13.348422242131669,0.0,124.55994802768467,107.823,-13.436861762309604
245,113037,紫银转债,109.82,-0.14,601860,紫金银行,2.77,-0.72,3.65,75.8904,44.71,0.73,-,4.75,110.0,109.0249,20210129,20200817,20200723,10311.3448,110.190,109.700,109.990,44.995,2026-07-23,,2021-01-29,,0.54,154.53,9.819999999999993,-24.1096,67.10526315789474,11.31578947368421,36.09210526315789,32.89473684210527,88.68421052631578,16.05263157894737,97.90435188377572,10.3,2.3230802974437066,13.375650620810058,0.0,123.90308280202949,109.82,-11.366208558774309
198,113563,柳药转债,107.906,0.01,603368,柳药集团,18.4,0.55,21.18,86.8744,24.21,-0.05,14.83,27.53,108.0,107.9581,20200722,20200224,20200116,4990.6052,107.928,107.850,107.895,8.017,2026-01-16,已公告强赎,2020-07-22,2026-01-12,0.02,132.116,7.906000000000006,-13.125600000000007,31.842105263157894,0.7894736842105263,52.68421052631579,68.15789473684211,99.21052631578947,26.842105263157894,99.92158933093758,10.3,0.008035452994880994,8.967630236139968,0.0,119.19725502007242,107.906,-9.47274752104904
352,127028,英特转债,137.33,-0.97,000411,英特集团,12.77,-1.16,9.3,137.3118,0.01,37.29,6.51,12.09,108.0,100.0321,20210712,20210310,20210105,15762.0025,140.700,136.701,138.888,1.651,2027-01-05,已公告强赎,2021-07-12,2026-01-19,0.99,137.34,37.33000000000001,37.311800000000005,1.710526315789474,1.5789473684210527,71.2828947368421,98.28947368421052,98.42105263157895,81.84210526315789,96.19156577450059,10.3,44.221601146044705,0.0,0.0,150.7131669205453,137.33,-8.879892310670355
309,127016,鲁泰转债,111.314,-0.43,000726,鲁  泰Ａ,7.17,-0.14,8.39,85.4589,30.25,0.69,5.87,10.91,111.0,110.547,20201015,20200513,20200409,7108.8326,112.026,111.300,111.800,13.998,2026-04-09,,2020-10-15,,0.25,141.564,11.313999999999993,-14.541100000000002,44.73684210526316,4.2105263157894735,47.118421052631575,55.263157894736835,95.78947368421052,25.526315789473685,99.02427357425654,10.3,2.1880172279600796,10.450267020143306,0.0,121.96255782235991,111.314,-8.731005656563621
201,128097,奥佳转债,110.141,0.0,002614,奥佳华,7.27,-2.02,9.35,77.754,41.65,0.68,6.55,12.16,110.0,109.393,20200902,20200318,20200225,4024.5707,110.462,110.102,110.185,4.582,2026-02-25,,2020-09-02,,0.13,151.791,10.141000000000005,-22.245999999999995,63.1578947368421,8.947368421052632,38.381578947368425,36.8421052631579,91.05263157894737,18.157894736842106,99.49142835603763,10.3,0.17890974902644438,10.45218811302275,0.0,120.42252621808683,110.141,-8.537876210524633
169,110073,国投转债,113.687,0.12,600061,国投资本,7.84,-0.88,9.42,83.2272,36.6,7.18,-,12.25,107.0,106.0672,20210201,20200820,20200724,28077.7058,114.700,112.613,113.551,79.992,2026-07-24,,2021-02-01,,0.54,150.287,13.686999999999996,-16.772800000000004,55.78947368421052,7.105263157894736,42.21052631578947,44.21052631578948,92.89473684210526,23.42105263157895,97.90435188377572,10.3,4.292380569525228,11.800210403144826,0.0,124.29694285644578,113.687,-8.535964451434273
374,128116,瑞达转债,132.8,-2.06,002961,瑞达期货,27.05,-2.06,20.32,133.1201,-0.24,31.4,14.22,26.42,110.0,101.0656,20210104,20200724,20200629,27749.3798,137.600,132.511,135.000,2.544,2026-06-29,已公告强赎,2021-01-04,2026-01-13,0.47,132.56,32.80000000000001,33.12010000000001,0.7894736842105263,1.0526315789473684,71.34210526315789,99.21052631578947,98.94736842105263,79.21052631578948,98.1735126935896,10.3,36.24039178937861,0.0,0.0,144.71390448296822,132.8,-8.23272962299928
93,127027,能化转债,116.5,0.56,000552,甘肃能化,2.39,1.27,2.93,81.57,42.82,7.52,2.05,3.81,110.0,108.3532,20210616,20210122,20201210,14631.1301,116.779,115.010,116.096,19.464,2026-12-10,,2021-06-16,,0.92,159.32,16.5,-18.430000000000007,64.21052631578948,16.315789473684212,36.88157894736842,35.78947368421053,83.68421052631578,22.894736842105264,96.45601775485655,10.3,6.5734144238145396,13.054480933144257,0.0,126.38391311181535,116.5,-7.820546831043897
140,123049,维尔转债,125.505,0.24,300190,维尔利,4.37,1.16,3.55,123.0986,1.95,8.79,2.49,4.62,118.0,115.3696,20201019,20200512,20200413,5862.4985,125.979,124.983,125.200,6.836,2026-04-13,,2020-10-19,,0.26,127.455,25.504999999999995,23.098600000000005,3.684210526315789,0.5263157894736842,69.47368421052632,96.3157894736842,99.47368421052632,72.63157894736842,98.98544316324566,10.3,25.256054324792576,0.0,0.0,134.54149748803823,125.505,-6.7165132369971206
376,113593,沪工转债,140.293,-2.47,603131,上海沪工,29.14,-2.93,21.09,138.1697,1.54,26.27,14.76,27.42,115.0,111.1088,20210125,20200810,20200720,42823.4934,143.700,138.669,143.301,1.781,2026-07-20,公告要强赎,2021-01-25,,0.53,141.833,40.293000000000006,38.169700000000006,3.1578947368421053,4.473684210526316,70.13157894736842,96.84210526315789,95.52631578947368,82.36842105263158,97.94275819991584,10.3,41.307101349035285,0.0,0.0,149.54985954895113,140.293,-6.189814939893769
335,110075,南航转债,136.394,-0.66,600029,南方航空,8.15,0.74,6.17,132.0908,3.26,29.67,4.32,8.02,106.5,105.1817,20210421,20201103,20201015,39237.3237,139.062,136.140,137.780,58.96,2026-10-15,,2021-04-21,,0.77,139.654,36.394000000000005,32.0908,4.473684210526316,2.631578947368421,69.53947368421052,95.52631578947368,97.36842105263158,78.42105263157895,97.02515132080232,10.3,37.962678220975796,0.0,0.0,145.2878295417781,136.394,-6.121524128915868
197,113033,利群转债,114.498,0.01,601366,利群股份,4.98,0.2,4.84,102.8926,11.28,4.48,3.39,6.29,110.0,109.5848,20201009,20200421,20200401,9653.1163,115.333,114.300,114.605,10.209,2026-04-01,,2020-10-09,,0.23,125.778,14.498000000000005,2.8926000000000016,8.68421052631579,0.2631578947368421,64.1578947368421,91.3157894736842,99.73684210526315,48.421052631578945,99.10198009990698,10.3,9.30123850477555,1.3535352072160607,0.0,120.05675381189859,114.498,-4.630105042326795
354,110067,华安转债,136.441,-1.02,600909,华安证券,7.53,-0.92,5.78,130.2768,4.73,27.87,-,7.51,107.0,106.7062,20200918,20200409,20200312,48880.835,138.598,135.050,137.000,27.991,2026-03-12,,2020-09-18,,0.17,141.171,36.441,30.27680000000001,5.526315789473684,3.9473684210526314,68.68421052631578,94.47368421052632,96.05263157894737,77.36842105263158,99.33546573641868,10.3,31.036468860594383,0.0,0.0,140.67193459701306,136.441,-3.00766077407945
135,128127,文科转债,120.123,0.27,002775,文科股份,4.43,0.23,4.42,100.2262,19.85,10.2,3.09,5.75,115.0,108.9998,20210301,20200911,20200820,4395.5834,120.634,119.526,119.800,8.037,2026-08-20,,2021-03-01,,0.61,139.973,20.123000000000005,0.22620000000000573,23.289473684210527,2.8947368421052633,57.83552631578947,76.71052631578948,97.10526315789474,44.73684210526316,97.63592902801432,10.3,12.763835229734225,1.6939521445994008,0.0,122.39371640234795,120.123,-1.8552557019212983
254,113584,家悦转债,119.204,-0.16,603708,家家悦,11.93,0.08,12.45,95.8233,24.4,9.11,8.72,16.19,110.0,109.2499,20201214,20200624,20200605,4296.9118,120.298,118.900,119.500,6.449,2026-06-05,,2020-12-14,,0.41,143.60399999999998,19.203999999999994,-4.176699999999997,32.36842105263158,5.263157894736842,53.078947368421055,67.63157894736842,94.73684210526316,38.15789473684211,98.40481084804368,10.3,8.058588347732892,4.520361634785097,0.0,121.28376083056168,119.204,-1.7147891987511765
348,123071,天能转债,124.483,-0.83,300569,天能重工,5.86,-2.01,6.7,87.4627,42.33,10.05,4.69,8.71,115.0,113.114,20210427,20201125,20201021,4125.5518,125.553,124.110,125.399,6.937,2026-10-21,,2021-04-27,,0.78,166.813,24.483000000000004,-12.537300000000002,63.68421052631579,28.68421052631579,34.684210526315795,36.31578947368421,71.3157894736842,27.631578947368425,96.98710482605725,10.3,7.915370836501988,10.924911773408802,0.0,126.12738743596805,124.483,-1.30375128621677
258,128141,旺能转债,132.75,-0.19,002034,旺能环境,16.18,-0.19,13.98,115.7368,14.7,22.76,9.79,18.17,110.0,108.1403,20210623,20210118,20201217,8998.9482,133.698,132.008,133.199,11.576,2026-12-17,,2021-06-23,,0.94,147.45,32.75,15.736800000000004,13.157894736842104,6.315789473684211,63.56578947368421,86.8421052631579,93.6842105263158,65.0,96.38038594598397,10.3,26.40894451379584,0.0,0.0,133.0893304597798,132.75,-0.2549644352462569
280,127018,本钢转债,122.101,-0.28,000761,本钢板材,3.34,-1.47,3.29,101.5198,20.27,3.39,2.3,4.28,119.0,118.0941,20210104,20200804,20200629,16081.9769,122.800,121.706,122.457,56.31,2026-06-29,,2021-01-04,,0.47,142.371,22.101,1.5198000000000036,24.210526315789473,5.0,57.26315789473684,75.78947368421053,95.0,46.578947368421055,98.1735126935896,10.3,11.915691899442256,1.513180186608687,0.0,121.90238477964054,122.101,0.1629297250570513
195,110081,闻泰转债,117.956,0.01,600745,闻泰科技,38.5,-1.23,43.6,88.3028,33.58,11.32,30.52,56.68,108.0,105.9583,20220207,20210820,20210728,22358.0008,118.860,117.600,118.250,85.971,2027-07-28,,2022-02-07,,1.55,151.536,17.956000000000003,-11.697199999999995,49.21052631578947,8.68421052631579,44.828947368421055,50.78947368421053,91.3157894736842,28.157894736842103,82.31788446735045,10.3,13.797468579248525,11.322893783369636,0.6289441504290663,117.10930267953955,117.956,0.72299749130722
223,127022,恒逸转债,134.444,-0.05,000703,恒逸石化,10.73,-0.19,9.14,117.3961,14.52,29.75,6.4,11.88,105.0,103.6216,20210422,20201116,20201016,23103.899,136.572,134.000,134.499,19.998,2026-10-16,,2021-04-22,,0.77,148.964,34.44399999999999,17.396100000000004,12.894736842105264,6.842105263157896,63.88157894736841,87.10526315789473,93.15789473684211,67.36842105263158,97.02515132080232,10.3,26.074821591434425,0.0,0.0,133.39997291223673,134.444,0.7826291602398714
187,127024,盈峰转债,125.044,0.04,000967,盈峰环境,7.24,-0.96,7.67,94.3937,32.47,15.3,5.37,9.97,110.0,108.4511,20210510,20201202,20201104,7208.6598,126.057,124.531,125.000,14.76,2026-11-04,,2021-05-10,,0.82,157.514,25.044,-5.6063000000000045,48.421052631578945,12.894736842105264,45.27631578947368,51.578947368421055,87.10526315789473,36.31578947368421,96.83506798039254,10.3,11.59633793911438,4.973839694919869,0.0,123.70524561442679,125.044,1.0822131098190728
151,127049,希望转2,120.201,0.19,000876,新 希 望,9.23,-0.75,10.59,87.1577,37.91,14.16,7.41,13.77,107.0,105.2923,20220509,20211129,20211102,17136.2501,121.172,120.000,120.001,81.434,2027-11-02,,2022-05-09,,1.82,158.111,20.200999999999993,-12.842299999999994,57.631578947368425,14.473684210526317,40.276315789473685,42.368421052631575,85.52631578947368,27.105263157894736,82.10773752938442,10.3,14.807483551057672,12.008030725710809,0.9191275812462676,118.30412422490663,120.201,1.6033893894410935
143,128128,齐翔转2,123.9,0.22,002408,齐翔腾达,4.94,-2.37,5.37,91.9926,34.68,13.83,3.76,6.98,110.0,108.8442,20210226,20200915,20200820,8650.5124,124.888,122.614,123.311,6.793,2026-08-20,,2021-02-26,,0.61,158.58,23.900000000000006,-8.007400000000004,51.31578947368421,15.263157894736842,43.118421052631575,48.68421052631579,84.73684210526315,32.631578947368425,97.63592902801432,10.3,8.424296962363508,5.470882657536738,0.0,121.83110864791456,123.9,1.6981634453187406
321,127041,弘亚转债,124.491,-0.51,002833,弘亚数控,16.35,-0.61,17.0,96.1765,29.44,9.35,11.9,22.1,115.0,113.8453,20220117,20210810,20210712,4504.7336,125.402,124.150,125.128,5.999,2026-07-12,,2022-01-17,,0.51,153.931,24.491,-3.8234999999999957,42.10526315789473,11.052631578947368,48.3421052631579,57.89473684210527,88.94736842105263,38.94736842105263,98.01961603666263,10.3,9.425821549239643,4.449680164573956,0.0,122.19511775047623,124.491,1.8788657777735343
206,110070,凌钢转债,126.814,-0.01,600231,凌钢股份,2.17,0.0,1.97,110.1523,15.13,13.72,1.38,2.56,112.0,111.5136,20201019,20200513,20200413,4599.2498,127.500,126.050,126.862,2.169,2026-04-13,,2020-10-19,,0.26,141.944,26.813999999999993,10.152299999999997,14.736842105263156,4.736842105263158,62.34210526315788,85.26315789473684,95.26315789473684,57.89473684210527,98.98544316324566,10.3,14.692346876639206,0.17047597059545566,0.0,124.14826601048033,126.814,2.147218060455738
80,123076,强力转债,143.357,0.75,300429,强力新材,15.94,0.89,12.7,125.5118,14.22,29.23,8.89,16.51,113.0,110.9348,20210525,20201204,20201119,96824.3256,147.000,142.910,146.410,5.781,2026-11-19,,2021-05-25,,0.86,157.577,43.357,25.511799999999994,12.631578947368421,13.157894736842104,63.50000000000001,87.36842105263159,86.8421052631579,74.73684210526315,96.68326946746785,10.3,33.274075331288486,0.0,0.0,140.25734479875632,143.357,2.209977100087783
87,113605,大参转债,128.399,0.61,603233,大参林,18.12,0.44,17.35,104.438,22.94,18.37,12.15,22.56,110.0,108.4694,20210428,20201113,20201022,6125.5099,128.865,127.502,127.502,14.046,2026-10-22,,2021-04-28,,0.79,151.339,28.399,4.438000000000002,28.68421052631579,8.421052631578947,55.63157894736842,71.3157894736842,91.57894736842105,51.84210526315789,96.94907325049286,10.3,17.18211289693745,1.0768648140636683,0.0,125.50805096149398,128.399,2.303397285161387
314,123085,万顺转2,137.88,-0.45,300057,万顺新材,5.88,-1.84,4.99,117.8357,17.01,30.23,3.49,6.49,108.0,105.8709,20210617,20201228,20201211,10468.2335,138.989,136.700,138.498,5.287,2026-12-11,,2021-06-17,,0.92,154.89,37.879999999999995,17.835700000000003,17.105263157894736,11.578947368421053,61.34210526315789,82.89473684210526,88.42105263157895,68.15789473684211,96.45601775485655,10.3,27.798484930619644,0.0,0.0,134.5545026854762,137.88,2.4714872026967516
71,113574,华体转债,139.498,1.04,603679,华体科技,16.72,1.46,13.49,123.9437,12.55,28.67,9.44,17.54,110.0,108.4156,20201009,20200427,20200331,30600.0946,144.000,137.826,138.500,1.733,2026-03-31,,2020-10-09,,0.22,152.048,39.49799999999999,23.943700000000007,10.0,9.210526315789473,65.17105263157895,90.0,90.78947368421053,73.15789473684211,99.1408562264999,10.3,25.570471843364345,0.0,0.0,135.01132806986425,139.498,3.3231818353894176
